team,season year,goals,yellowCards,redCards
zenit-st-petersburg,13/14,20,24.0,1.0
zenit-st-petersburg,15/16,13,23.0,2.0
zenit-st-petersburg,14/15,11,23.0,1.0
zenit-st-petersburg,19/20,7,16.0,1.0
zenit-st-petersburg,16/17,2,1.0,0.0
zenit-st-petersburg,20/21,1,7.0,0.0
zenit-st-petersburg,17/18,0,4.0,1.0
zenit-st-petersburg,18/19,0,1.0,0.0
young-boys,18/19,4,15.0,2.0
young-boys,13/14,0,0.0,0.0
young-boys,14/15,0,0.0,0.0
viktoria-plzen,13/14,23,21.0,1.0
viktoria-plzen,18/19,4,9.0,0.0
vfl-wolfsburg,15/16,5,10.0,0.0
vfl-wolfsburg,13/14,0,4.0,0.0
vfl-wolfsburg,14/15,0,1.0,0.0
valletta,14/15,0,6.0,3.0
valencia,19/20,10,17.0,2.0
valencia,16/17,4,4.0,0.0
valencia,18/19,4,18.0,0.0
valencia,14/15,2,4.0,0.0
valencia,15/16,2,18.0,1.0
valencia,13/14,1,4.0,0.0
valencia,17/18,1,2.0,0.0
tottenham,18/19,19,23.0,1.0
tottenham,19/20,17,15.0,0.0
tottenham,17/18,14,13.0,1.0
tottenham,16/17,6,6.0,0.0
tottenham,14/15,5,0.0,0.0
tottenham,15/16,3,3.0,0.0
tottenham,13/14,0,3.0,0.0
the-new-saints,13/14,1,4.0,0.0
the-new-saints,14/15,0,4.0,0.0
stade-rennais,16/17,2,1.0,0.0
stade-rennais,13/14,1,1.0,0.0
stade-rennais,19/20,1,4.0,0.0
stade-rennais,20/21,1,7.0,1.0
stade-rennais,15/16,0,1.0,0.0
stade-rennais,17/18,0,2.0,0.0
stade-rennais,18/19,0,1.0,0.0
sporting-cp,14/15,13,2.0,1.0
sporting-cp,16/17,6,15.0,3.0
sporting-cp,17/18,5,12.0,0.0
sporting-cp,13/14,4,0.0,0.0
sporting-cp,15/16,4,2.0,0.0
spartak-moscow,14/15,9,4.0,0.0
spartak-moscow,17/18,5,12.0,0.0
spartak-moscow,13/14,1,2.0,0.0
sp-tre-penne,13/14,0,8.0,0.0
slovan-bratislava,14/15,6,9.0,2.0
slovan-bratislava,13/14,2,8.0,1.0
slavia-praha,19/20,4,16.0,0.0
slavia-praha,13/14,3,1.0,0.0
slavia-praha,17/18,0,1.0,0.0
sl-benfica,19/20,9,6.0,0.0
sl-benfica,15/16,8,24.0,0.0
sl-benfica,16/17,8,13.0,0.0
sl-benfica,13/14,7,6.0,0.0
sl-benfica,18/19,5,12.0,0.0
sl-benfica,14/15,3,11.0,3.0
sl-benfica,17/18,1,11.0,2.0
shakhtar-donetsk,17/18,10,12.0,1.0
shakhtar-donetsk,15/16,9,13.0,1.0
shakhtar-donetsk,18/19,8,9.0,0.0
shakhtar-donetsk,19/20,8,10.0,2.0
shakhtar-donetsk,14/15,5,12.0,1.0
shakhtar-donetsk,13/14,4,8.0,0.0
