title,author,date,content
"With Messi moving to France, the Bundesliga needs Haaland to be their superstar",Ronan Murphy,"Aug 12, 2021","After a quiet transfer market, Germany's top flight will have to work harder than ever to compete for viewers with Europe's other big leagues"
"No Messi, no hope? How Barcelona will line up this season",Rik Sharma,"Aug 12, 2021","The Argentine has been carrying the Catalan club for years, so Ronald Koeman must come up with a plan to cope with the loss of the forward to PSG..."
Messi to PSG: A transfer 10 years in the making and completed in a matter of days,Robin Bairner,"Aug 14, 2021",Seeing Lionel Messi play in a club shirt that is not Barcelona's is about to become a reality - and the realisation of a dream in Qatar and Paris
NXGN Revisited: What happened to Barcelona's 'Korean Messi' Lee Seung-woo?,Emma Smith,"Aug 25, 2021","The forward broke records during his early years at La Masia, but the 23-year-old now finds himself playing in Belgium after a tumultuous last decade"
"Don't cry for me, Barcelona! PSG providing Messi with the perfect stage for magician's final act",Daniel Edwards,"Aug 11, 2021",The Argentine attacker shed tears after his shock Camp Nou exit but everything is in place for him in Paris to win another Champions League title
"Messi, Neymar, Mbappe: PSG have built the most devastating attack the world has ever seen",Robin Bairner,"Aug 08, 2021",The six-time Ballon d'Or winner is set to join forces with the two most expensive players in the history of the game after leaving Barcelona
As a No.10 or up front - Where will Messi play for PSG?,Robin Bairner,"Aug 10, 2021",The Barcelona icon has signed a two-year deal with the capital club and is set to team up with Neymar and Kylian Mbappe in a thrilling front three
'We demand the truth!' - Barcelona fans' fury over Messi's shocking exit,Rik Sharma,"Aug 06, 2021",There is a sense of sorrow and disbelief hanging over Catalunya after Messi's exit from Camp Nou was confirmed on Thursday
How can Barcelona move on without Messi?,Rik Sharma,"Aug 08, 2021","The reality of Messi's exit is beginning to dawn on those around the club and Barca's future might go one of two ways - one positive, one negative"
"BBC, MSN and now MNM: Where does Messi, Neymar, Mbappe rank in the history of football’s finest front threes?",Mark Doyle,"Aug 11, 2021",The Argentine's Barcelona exit has stunned the football world and Paris Saint-Germain are now in possession of a truly awesome attacking unit...
Messi and Ramos: From bitter rivals at Barcelona and Real Madrid to PSG team-mates,Rik Sharma,"Aug 12, 2021","As key characters on the opposite side of the Clasico divide, the pair warred with one another many times, but they are now united by a common goal"
Reviving Real Madrid's 'Japanese Messi': Kubo chasing Olympic glory after miserable La Liga loan spells,Rik Sharma,"Jul 20, 2021","The winger struggled at both Villarreal and Getafe last season, but arrives in Tokyo as the poster boy for the host nation's hopes of football gold"
Messi's Angel of mercy: Di Maria's Copa America winner ends duo's 14 years of anguish with Argentina,Daniel Edwards,"Jul 13, 2021","A reserve for much for the tournament, the winger had been told by his captain before the final that he would make the difference in the Maracana"
Messi and Argentina break final curse at long last with battling victory over Brazil,Daniel Edwards,"Jul 11, 2021","Angel Di Maria came up with the vital goal, but nobody did more to drive the Albiceleste to glory than their veteran captain"
Bring it on! Messi & Neymar put 'friendship on the line' in Copa America's clash of the titans,Daniel Edwards,"Jul 09, 2021",Few individual battles have been as hotly anticipated as this first meeting of the former Barcelona team-mates on opposite sides of a final
Messi stays! Now Barcelona must build him a Champions League-winning team,Rik Sharma,"Jul 14, 2021","The Argentine has taken a 50% wage cut to remain at Camp Nou, so the cash-strapped Blaugrana have to now hold up their end of the bargain"
Barcelona in meltdown: How can the Blaugrana raise €200m to keep Messi?,Rik Sharma,"Jul 08, 2021","The Camp Nou outfit are unable to register their new signings due to salary cap limits, but those they wish to sell are proving difficult to shift"
"'Messi can play until he's 40' - Argentine veteran D'Alessandro on Copa America, Maradona comparisons & working under Bielsa",Daniel Edwards,"Jun 28, 2021",The six-time Ballon d'Or winner is currently searching for his first international trophy with the Albiceleste at the tournament in Brazil
From Blackburn to Brazil: Chile revelation Brereton lighting up the Copa America along with Messi & Neymar,Daniel Edwards,"Jun 30, 2021",The 22-year-old Stoke native was excellent in the group stage but faces the game of his life on Friday as the Roja take on the tournament favourites
Barcelona's new Neymar? How Depay will fit alongside Messi at Camp Nou,Rik Sharma,"Jun 27, 2021",Many people questioned the Blaugrana's decision to sign the 27-year-old on a free transfer but he's proving his worth at Euro 2020 with Netherlands
Brazil beware! Messi-inspired Argentina are now real Copa America contenders,Daniel Edwards,"Jul 03, 2021",The Albiceleste captain may now be technically unemployed but he is certainly not shirking his duties at the head of an improving team
'He is the best player in history' - Ballon d'Or looms into view for Messi after Copa America heroics for Argentina,Daniel Edwards,"Jul 06, 2021",The Barcelona legend has outperformed any of his peers in South America and at the Euros as he fights for that elusive first international title
Messi could end GOAT debate forever with Copa America victory,Daniel Edwards,"Jul 09, 2021",A lack of an international title has been a stick to beat Messi with throughout his career but now he has another chance to set the record straight
'It is time to strike' - Messi out for Copa America revenge and this time it's personal,Daniel Edwards,"Jun 14, 2021",The Albiceleste captain was incensed by the manner of his team's elimination in Brazil two years ago and now has another chance to claim the trophy
Messi & Aguero friendship could ensure Barcelona star's Camp Nou stay,Daniel Edwards,"Jun 03, 2021","The new Blaugrana signing expressed his wish to play alongside Leo in Catalunya, but first their attentions turn to a packed international schedule"
"'Messi has nothing to prove' - Inter target Musso on Argentina, Udinese and his Champions League dream",Mark Doyle,"May 20, 2021","In an exclusive interview with Goal, the in-demand Udinese goalkeeper discusses his career to date and transfer speculation surrounding his future"
From Manchester United flop to Messi replacement at Barcelona? The remarkable rebirth of Memphis Depay,Robin Bairner,"May 23, 2021","The Dutch forward has enjoyed a journey of personal growth at Lyon, and if he moves to Camp Nou in the summer he is sure to be an asset"
Francisco Conceicao: Porto manager's son earning Messi comparisons,Tom Maston,"May 24, 2021",The diminutive 18-year-old has enjoyed a breakout campaign in Liga NOS having wowed onlookers with his dribbling ability as a youth-team player
'A giant step backwards' - Barcelona bow out of title race as Messi nears the end,Rik Sharma,"May 14, 2021","It is shaping up to be a seismic summer at Camp Nou, with the league crown all but out of reach and their captain's future still not sorted"
'The Messi of coaches' - How 'crazy' Conte turned 'Pazza' Inter into Serie A title winners,Mark Doyle,"May 02, 2021","The 51-year-old faced resistance among the fans because of his Juventus background, but in just two seasons he has knocked the Old Lady off her perch"
Messi's shirts and Sinovac: The Covid-19 vaccine donation that aims to save Copa America,Daniel Edwards,"May 07, 2021",CONMEBOL became the first non-governmental body on the planet to receive vaccines in order to inoculate South America's footballers
The return of the king! Messi reclaims Barcelona's Copa crown on a perfect night for Koeman & Laporta,Rik Sharma,"Apr 17, 2021","The Argentine scored twice, after goals from Frenkie de Jong and Antoine Griezmann, as the Catalans routed Athletic Club 4-0 in Seville"
Not just another final: Koeman and Messi's futures on the line as Barcelona eye Copa glory,Rik Sharma,"Apr 16, 2021","While Barca have made improvements in recent times, their failures in big games could spell the end for their coach and see their captain opt to leave"
"No Messi, no Ronaldo: Champions League stage set for Neymar to prove he's still Ballon d'Or-worthy",Robin Bairner,"Apr 07, 2021","The Brazil international moved to France to win the individual prize, but he has yet to write himself into the history books in that way"
Will a league and cup double be enough to convince Messi to stay at Barcelona?,Rik Sharma,"Mar 20, 2021",The Catalans have had a remarkable turnaround in form since the start of the year thanks largely to their Argentine talisman and coach Ronald Koeman
